Date,type,locale,locale_name,description,transferred
02-03-12,Holiday,Local,Manta,Fundacion de Manta,FALSE
01-04-12,Holiday,Regional,Cotopaxi,Provincializacion de Cotopaxi,FALSE
12-04-12,Holiday,Local,Cuenca,Fundacion de Cuenca,FALSE
14-04-12,Holiday,Local,Libertad,Cantonizacion de Libertad,FALSE
21-04-12,Holiday,Local,Riobamba,Cantonizacion de Riobamba,FALSE
12-05-12,Holiday,Local,Puyo,Cantonizacion del Puyo,FALSE
23-06-12,Holiday,Local,Guaranda,Cantonizacion de Guaranda,FALSE
25-06-12,Holiday,Regional,Imbabura,Provincializacion de Imbabura,FALSE
25-06-12,Holiday,Local,Latacunga,Cantonizacion de Latacunga,FALSE
25-06-12,Holiday,Local,Machala,Fundacion de Machala,FALSE
03-07-12,Holiday,Local,Santo Domingo,Fundacion de Santo Domingo,FALSE
03-07-12,Holiday,Local,El Carmen,Cantonizacion de El Carmen,FALSE
23-07-12,Holiday,Local,Cayambe,Cantonizacion de Cayambe,FALSE
05-08-12,Holiday,Local,Esmeraldas,Fundacion de Esmeraldas,FALSE
10-08-12,Holiday,National,Ecuador,Primer Grito de Independencia,FALSE
15-08-12,Holiday,Local,Riobamba,Fundacion de Riobamba,FALSE
24-08-12,Holiday,Local,Ambato,Fundacion de Ambato,FALSE
28-09-12,Holiday,Local,Ibarra,Fundacion de Ibarra,FALSE
07-10-12,Holiday,Local,Quevedo,Cantonizacion de Quevedo,FALSE
09-10-12,Holiday,National,Ecuador,Independencia de Guayaquil,TRUE
12-10-12,Transfer,National,Ecuador,Traslado Independencia de Guayaquil,FALSE
02-11-12,Holiday,National,Ecuador,Dia de Difuntos,FALSE
03-11-12,Holiday,National,Ecuador,Independencia de Cuenca,FALSE
06-11-12,Holiday,Regional,Santo Domingo de los Tsachilas,Provincializacion de Santo Domingo,FALSE
07-11-12,Holiday,Regional,Santa Elena,Provincializacion Santa Elena,FALSE
10-11-12,Holiday,Local,Guaranda,Independencia de Guaranda,FALSE
11-11-12,Holiday,Local,Latacunga,Independencia de Latacunga,FALSE
12-11-12,Holiday,Local,Ambato,Independencia de Ambato,FALSE
05-12-12,Additional,Local,Quito,Fundacion de Quito-1,FALSE
06-12-12,Holiday,Local,Quito,Fundacion de Quito,FALSE
08-12-12,Holiday,Local,Loja,Fundacion de Loja,FALSE
21-12-12,Additional,National,Ecuador,Navidad-4,FALSE
22-12-12,Holiday,Local,Salinas,Cantonizacion de Salinas,FALSE
22-12-12,Additional,National,Ecuador,Navidad-3,FALSE
23-12-12,Additional,National,Ecuador,Navidad-2,FALSE
24-12-12,Bridge,National,Ecuador,Puente Navidad,FALSE
24-12-12,Additional,National,Ecuador,Navidad-1,FALSE
25-12-12,Holiday,National,Ecuador,Navidad,FALSE
26-12-12,Additional,National,Ecuador,Navidad+1,FALSE
31-12-12,Bridge,National,Ecuador,Puente Primer dia del ano,FALSE
31-12-12,Additional,National,Ecuador,Primer dia del ano-1,FALSE
01-01-13,Holiday,National,Ecuador,Primer dia del ano,FALSE
05-01-13,Work Day,National,Ecuador,Recupero puente Navidad,FALSE
12-01-13,Work Day,National,Ecuador,Recupero puente primer dia del ano,FALSE
11-02-13,Holiday,National,Ecuador,Carnaval,FALSE
12-02-13,Holiday,National,Ecuador,Carnaval,FALSE
02-03-13,Holiday,Local,Manta,Fundacion de Manta,FALSE
01-04-13,Holiday,Regional,Cotopaxi,Provincializacion de Cotopaxi,FALSE
12-04-13,Holiday,Local,Cuenca,Fundacion de Cuenca,FALSE
14-04-13,Holiday,Local,Libertad,Cantonizacion de Libertad,FALSE
21-04-13,Holiday,Local,Riobamba,Cantonizacion de Riobamba,FALSE
29-04-13,Holiday,National,Ecuador,Viernes Santo,FALSE
01-05-13,Holiday,National,Ecuador,Dia del Trabajo,FALSE
11-05-13,Additional,National,Ecuador,Dia de la Madre-1,FALSE
12-05-13,Holiday,Local,Puyo,Cantonizacion del Puyo,FALSE
12-05-13,Event,National,Ecuador,Dia de la Madre,FALSE
24-05-13,Holiday,National,Ecuador,Batalla de Pichincha,FALSE
23-06-13,Holiday,Local,Guaranda,Cantonizacion de Guaranda,FALSE
25-06-13,Holiday,Regional,Imbabura,Provincializacion de Imbabura,FALSE
25-06-13,Holiday,Local,Machala,Fundacion de Machala,FALSE
25-06-13,Holiday,Local,Latacunga,Cantonizacion de Latacunga,FALSE
03-07-13,Holiday,Local,El Carmen,Cantonizacion de El Carmen,FALSE
03-07-13,Holiday,Local,Santo Domingo,Fundacion de Santo Domingo,FALSE
23-07-13,Holiday,Local,Cayambe,Cantonizacion de Cayambe,FALSE
24-07-13,Additional,Local,Guayaquil,Fundacion de Guayaquil-1,FALSE
25-07-13,Holiday,Local,Guayaquil,Fundacion de Guayaquil,FALSE
05-08-13,Holiday,Local,Esmeraldas,Fundacion de Esmeraldas,FALSE
10-08-13,Holiday,National,Ecuador,Primer Grito de Independencia,FALSE
15-08-13,Holiday,Local,Riobamba,Fundacion de Riobamba,FALSE
24-08-13,Holiday,Local,Ambato,Fundacion de Ambato,FALSE
28-09-13,Holiday,Local,Ibarra,Fundacion de Ibarra,FALSE
07-10-13,Holiday,Local,Quevedo,Cantonizacion de Quevedo,FALSE
09-10-13,Holiday,National,Ecuador,Independencia de Guayaquil,TRUE
11-10-13,Transfer,National,Ecuador,Traslado Independencia de Guayaquil,FALSE
02-11-13,Holiday,National,Ecuador,Dia de Difuntos,FALSE
03-11-13,Holiday,National,Ecuador,Independencia de Cuenca,FALSE
06-11-13,Holiday,Regional,Santo Domingo de los Tsachilas,Provincializacion de Santo Domingo,FALSE
07-11-13,Holiday,Regional,Santa Elena,Provincializacion Santa Elena,FALSE
10-11-13,Holiday,Local,Guaranda,Independencia de Guaranda,FALSE
11-11-13,Holiday,Local,Latacunga,Independencia de Latacunga,FALSE
